age,Mean Cholesterol Level,Total People
29,204.0,1
34,196.0,2
35,213.75,4
37,232.5,2
38,193.666667,3
39,239.75,4
40,196.333333,3
41,220.7,10
42,246.75,8
43,256.75,8
44,221.363636,11
45,247.375,8
46,230.285714,7
47,246.4,5
48,250.857143,7
49,228.6,5
50,227.0,7
51,258.666667,12
52,228.230769,13
53,233.5,8
54,253.3125,16
55,280.625,8
56,259.363636,11
57,238.529412,17
58,254.526316,19
59,239.857143,14
60,245.545455,11
61,243.75,8
62,256.636364,11
63,258.222222,9
64,274.4,10
65,279.0,8
66,245.714286,7
67,286.777778,9
68,238.75,4
69,242.333333,3
70,252.5,4
71,238.666667,3
74,269.0,1
76,197.0,1
77,304.0,1
